author,title,url,tags,categories,date,contents,topic
Rory Lee,This could be the best postpaid plan in town — RM80/month for unlimited everything,http://www.soyacincau.com/2016/04/06/webe-unlimited-postpaid-plan/,"P1,packet one,Packet One networks,Telekom,TM,TM 4G LTE,Webe,Webe mobile operator","P1,P1,Players on the Field,TM",2016-04-06,"Many of you might not have heard of  , but after today’s set of events, they’re probably going to be on everyone’s lips. We have   in the past that Webe might become the next 4G LTE operator (under   and  ) and it looks like our suspicions might have just become reality. What’s more, it also seems that Webe might just have the best mobile 4G LTE plan yet. After some digging,   came across a staging site for the aforementioned Webe. This staging site not only reveals that Webe is going to begin operations as a 4G LTE operator, but also that they’re offering ridiculously good value plans. From the looks of things, Webe’s starter plan will offer consumers 20GB of data, 1,000 minutes of calls and 1,000 SMSes from only RM8 a month. Keep in mind that the RM8/month price tag is only available for existing P1 customers who choose to pick up a device plus the plan. If someone is an existing P1 customer that doesn’t want to pick up a plan, they would have to pay RM9. For non-P1 customers, you would have to pay RM10 for the plan instead. As peculiar as it sounds, Lowyat.net also discovered that if you wanted to enable tethering for your Webe data plan, you would have to add on an additional RM10. That brings the total up to RM20/month which is still a pretty smashing deal. But that’s not all. It also seems that Webe are looking to introduce an unlimited plan for RM80/month. And when they say unlimited, they truly mean unlimited as the page indicates that users who subscribe to this plan will get unlimited 4G Internet, unlimited calls and unlimited SMS. The plan also allows for shared lines (up to 3 lines) which could mean that up to four different lines sharing one unlimited quota. Comparatively, an existing RM80 plan like Celcom’s FIRST Gold plan only gives you 10GB of data (split between weekends and weekdays). However, as this is only a test page, we do urge you to take this with a grain of salt as its seems too good to be true. These numbers could only be placeholder figures and not reflect the final plan’s pricing. Either way, this is exciting stuff and we will find out the truth of them come the 13th of April when P1 finally unveils its  . What do you guys think of these plans?",7
Alexander Wong,iPhone SE and iPad Pro 9.7 official Malaysian pricing revealed,http://www.soyacincau.com/2016/04/06/iphone-se-ipad-pro-9-7-malaysia-official-price/,"apple,Apple iPhone SE,Apple Store,iPad Pro,iPad Pro 9.7,iPad Pro 9.7 Malaysia,iPad Pro 9.7 Malaysia Price,iPhone SE,iPhone SE Malaysia,iPhone SE Official Price,iPhone SE Price,Malaysia","Apple,iOS,iPad,iPhone,Mobile Devices,Mobile OS",2016-04-06,"This is it folks. The official pricing for the new   and   are finally revealed on Apple’s Malaysian online store. The iPhone SE is their latest device featuring top end specs in a familiar 4″ body. As expected, the iPhone SE is priced under RM2,000 while the iPad Pro 9.7 is listed from RM2,699 for its base 32GB model with WiFi. In terms of colours, both the iPhone SE and iPad Pro 9.7 will be available in Silver, Gold, Space Grey and Rose Gold. The full pricing is as follows: The price for the iPhone 6, 6 Plus, 6s and 6s Plus remains unchanged. Here’s their current pricing: 
 At time of writing, you can’t buy both devices yet but it shouldn’t take too long before it goes on sale. You can check it out yourself over at Apple’s   and   pages. For those who plan to pick up the iPhone SE on contract, you can get it soon from our big 4 telcos – Celcom, Digi, Maxis and U Mobile.  If you haven’t seen it yet, check out our iPhone SE hands-on and unboxing videos below:",6
Alexander Wong,Your WhatsApp conversations are now encrypted end to end,http://www.soyacincau.com/2016/04/06/your-whatsapp-conversations-are-now-encrypted-end-to-end/,"Encryption,end to end encryption,Instant Messaging,iPhone Whatsapp encryption,security,TextSecure,Whatsapp,WhatsApp Android Encryption,WhatsApp Encryption,WhatsApp iOS Encryption","Android,iOS,Mobile Apps,Mobile OS",2016-04-06,"WhatsApp has finally rolled out end to end encryption for all users. Initially   for Android users via Open Whisper Systems, the new encryption now covers all forms of communications including WhatsApp calls, photos, videos and file transfers on both Android and iOS platforms.  If you’re running on the latest version of WhatsApp, encryption will be enabled automatically by default. Whether you’re chatting to an individual or in a group, you can be rest assured that no third party will be able to tap into your conversations. You should notice a subtle message indicating that your chat and voice calls are encrypted end to end.  This will only work if all parties have encryption enabled and you can check if your contact or group is secured by going into Group Info > Encryption. If a member doesn’t have encryption enabled, an open lock icon will appear and they would need to update WhatsApp to close the loop.  To verify if the encryption is valid with a specific individual, you can check the Security code by comparing the 60 digit code or by scanning the QR code. For group chats, you’ll get a lock icon if all members are compliant.  The folks at WhatsApp have a strong desire to protect personal privacy and they believe encryption is ultimately the key for the future of personal communication. Co-Founder Jan Koum also shared about life in the former USSR where people couldn’t speak freely under communist rule. Today WhatsApp assures that more than a billion of its users can talk freely and securely.",8
Alexander Wong,TM UniFi Advance subscription now starts from RM199/month,http://www.soyacincau.com/2016/04/05/tm-unifi-advance-subscription-now-starts-from-rm199month/,"All new Unifi,HSBB,TM,TM HSBB,TM Unifi,tm unifi advance,TM unifi advance 30Mbps,TM Unifi advance 50Mbps,TM Unifi subscription fee,Unifi,UniFi ADVANCE PLAN","Players on the Field,TM,UniFi",2016-04-05,"Are you planning to subscribe to UniFi? You’ll have to pay more each month as they have revised the pricing for its current UniFi Advance offering for 30Mbps and 50Mbps. When TM   in October last year, they were offered at an introductory price of RM179/month for 30Mbps and RM229/month for 50Mbps.  Effective 1st April, the base 30Mbps UniFi Advance is going for RM199/month and if you want faster speeds, it will cost you RM249/month. While the subscription fee is higher, TM has thrown in a couple of extras for better value. Voice calls are now included, giving you 600 minutes of calls for domestic use. After you’ve finished your voice plan minutes, you can enjoy free calls to all TM fixed line numbers, while other numbers including mobile are charged at 10sen/minute. Previously all voice calls are charged at a higher 20 sen/minute and if you do make a lot of calls, the same Voice Pack will cost you an optional RM20/month.  In addition to its free  , TM is also giving all subscribers free   subscription for 3 months. In terms of connectivity, UniFi has already doubled its   compared to its initial launch offering. The 30Mbps plan now offers 10Mbps upload (previously 5Mbps) while its higher 50Mbps plan is giving 20Mbps (previously 10Mbps).  For even faster speeds, TM now has a   that’s offered at RM299/month (Normal: RM329/month). To sweeten the deal, TM will be giving 1 month free subscription for all plans if you register  .",2
Rory Lee,"11street is offering the iPhone SE from RM1,899",http://www.soyacincau.com/2016/04/06/11street-is-offering-the-iphone-se-from-rm1899/,"11street,apple,Apple iPhone,Apple iPhone SE,Apple iPhone SE buy malaysia,Apple iPhone SE Malaysia,Apple iPhone SE price Malaysia,iOS,iPhone SE,smartphone","Apple,iOS,iPhone,Mobile Devices,Mobile OS,Promotions",2016-04-06,"has finally revealed the   for the   and it’s a doozy. Not impressed with how much it costs? Well,   would like to serve you a counter offer. The iPhone SE made waves when it was  . Many were happy that Apple decided to go back to the 4-inch form factor, but most were a little disappointed that they simply recycled their old iPhone 5s body. We think it’s actually a   on Apple’s part because not only does it offer an affordable iPhone with top-of-the-line specs for consumers, it also gave users who hung on to the iPhone 5/5s for its size a viable upgrade. If you’re on board with the idea of an iPhone 6s crammed into the body of an iPhone 5s and you want to pick one up, 11street is having a   on their imported iPhone SE devices. As part of their “Shocking Deals” 11street are knocking 7% off the top of the imported iPhone SE’s original price tag of RM2,049, meaning those who are interested can pick up the 16GB iPhone SE for RM1,899 (incl GST) with free shipping. If you want more storage, you can top up RM519 for the 64GB variant, which brings the total device cost to RM2,418 inclusive of GST. Keep in mind that this unit, according to their Seller Information table, is being shipped from Kowloon, Hong Kong and is sold without a warranty.",9
Alexander Wong,Xiaomi’s new Mi Pad is more than meets the eye,http://www.soyacincau.com/2016/04/05/xiaomi-transformers-mi-pad-2-hasbro-crowdfunding/,"crowdfunding,Hasbro,Mi Pad,Mi Pad 2 Transformers,Mi pad Transformers,Soundwave,Transformers,Transformers Mi pad,Transformers Sound Wave,Xiaomi Mi Pad","Android,Mobile Devices,Mobile OS,Xiaomi",2016-04-05,"Apart from making affordable smartphones and  , Xiaomi is introducing a special   in collaboration with Hasbro. The device is listed on their China   as a crowdfunding product and it has already exceeded its goal of 1,000 backers. Remember “SoundWave” from the original Transformers series? This time, it comes in a shape of a Xiaomi Mi Pad 2 instead of a tape recorder. It is priced at 169 CNY each (about RM103) and it will start shipping from 13th May 2016. Alternatively, you can also support the project for 1 CNY (RM0.61) and every 200 contributors will stand a chance to win one with free shipping.  There’s no mention if the transforming Mi Pad will be available after the crowdfunding deal is over. It looks pretty good and we want one ourselves. Don’t ask us if this Mi Pad runs on Android or  .",9
Rory Lee,Xiaomi Redmi Note 3 review: Best smartphone on a budget?,http://www.soyacincau.com/2016/04/05/xiaomi-redmi-note-3-review-best-smartphone-on-a-budget/,,,2016-04-05,"For the longest time,   has been king of the entry-level and affordable market. Their ability to consistently forge great phones and sell them at low prices is nothing short incredible. In recent months, a demand grew in the entry-to-midrange smartphone market for budget devices with a premium build. Feeling their competitors close in, Xiaomi made a move that shocked many — they introduced the all-metal  . It was shocking because the Redmi Note 3 comes not even half a year after the   was released. Many were perplexed by that move because seemed like that meant Xiaomi were cannibalising their popular Redmi phablet before it could even hit its first anniversary. On paper, the full-metal Redmi Note 3 has great value for its price. With an upgraded processor, more RAM and a better build, it wasn’t hard to see why the critics thought so.",7
Alexander Wong,More info on Malaysia’s newest 4G operator,http://www.soyacincau.com/2016/04/06/webe-malaysia-4g-lte-operator/,"4G LTE,P1,TM,TM 4G,TM 4G LTE,TM Mobile Service,Webe","Industry in General,P1,Players on the Field,Rumour Mill",2016-04-06,"The Malaysian mobile telco space is currently dominated by the big 4 telcos – Celcom, Digi, Maxis and U Mobile. This year will be an exciting one as consumers can expect a brand new alternative. A source has dropped a couple of clues of what appears to be Malaysia’s latest 4G operator.  From the photos, the new mobile brand is going to be called Webe and it looks like they are ready to launch very soon. When we checked online, Webe is currently a community that   from cycling, music and to building classrooms for students with special needs. It’s like a Kickstarter platform but the difference is that you won’t need to fork out a single sen. The projects are already funded and all they need is your support to make it happen.  Coincidentally, the Webe community site has a countdown timer for a full reveal on 13 April, which is the same day as P1’s  . If you’re not convinced yet, the webe.com.my domain is currently registered to P1 according to its domain details.",2
Rory Lee,Vivo’s V3Max is a metal-bodied smartphone that packs a punch,http://www.soyacincau.com/2016/04/06/vivos-v3max-is-a-metal-bodied-smartphone-that-packs-a-punch/,"Android,Malaysia,Vivo,Vivo Malaysia,Vivo smartphone,Vivo V3 Max,Vivo V3Max,Vivo V3Max Malaysia","Android,Mobile Devices,Mobile OS,vivo",2016-04-06,"recently unveiled two smartphones in   under their “V’ line of affordable smartphones — the V3 and V3Max. Just hours later, the higher-spec V3Max has popped up online on both   and Vivo Malaysia’s  . The best part? It’s pretty good value for money. On paper, the V3Max puts on a strong show. It’s got a 5.5-inch full-HD display on the front which packs a pixel density of 401ppi. Inside, it’s powered by a Snapdragon 652 octa-core processor with 4GB of RAM and 32GB of internal storage. For photos, the device gets a 13-megapixel primary camera with PDAF and a front-facing 8-megapixel selfie shooter. Keeping the lights on is a 3,000 mAh battery. While the internals are impressive, we’re a little on the fence about the looks of the smartphone. Sure, it’s got a nice full-metal unibody with rounded edges for better feel-in-hand. But, it just looks so much like an OPPO R series smartphone and I think we have more than enough of that design. That said, the V3Max also packs a rear-mounted fingerprint sensor, dual-SIM support, LTE connectivity, Quick Charge and will come running Android Lollipop out of the box. You can’t exactly buy the smartphone right now, but you can pre-order the device from authorised Vivo retailers in Malaysia, or   for RM1,399. If you do place a pre-order, Vivo is throwing in a mystery gift worth RM199 plus a leather smartphone case while stocks last.",6
Rory Lee,Huawei Mate 8 review: Bigger is better,http://www.soyacincau.com/2016/04/05/huawei-mate-8-review-bigger-is-better/,,,2016-04-05,"‘s   is a tricky device to recommend. It’s difficult to justify purchasing this smartphone over any of the other 2016 flagships that have and are soon to be arriving on our shores. But, here’s the thing, you don’t have to do that because the Huawei Mate 8 has one big advantage over the competition. Don’t get me wrong, the Mate 8 will run pretty much as smoothly as any of the other flagships in the market right now. With the help of Huawei’s new silicone and Android 6.0 Marshmallow, you probably won’t even notice any of the minor stutters I did unless you’re coming from a   device. It’s even pretty good in the camera department. Nothing to shout about, but it is certainly capable of taking some great shots. It’s also got a massive battery that should easily last the average user an average day. But, if I had to pick one standout feature, it would be the device’s big screen. It makes content consumption so satisfying but is this enough to tempt you away from the majority of this",4
