date,url,title,contents,author
2016-05-04,https://blog.hubspot.com/marketing/ted-talks-confidence-boost,10 Inspiring TED Talks That'll Boost Your Self-Confidence,"Some days, you just feel ... blah. It happens to all of us. It can be short-term, like  , or we're embarking on a new project but have no idea where to start. Other times, it's a little more long-term, like when we feel like we're  , or  Where should you go from there? In times like these, we all have our own coping mechanisms. But if what you need is some words of wisdom and a little motivation, check out the 10 TED talks below. We've curated some of the best TED talks for when you're feeling down and out, stuck, unmotivated, or generally in need of a confidence boost. Check 'em out, and bookmark them for when you need a little encouragement. They could be just what you needed. Before she authored the book  Elizabeth Gilbert was an ""unpublished young diner waitress,"" devastated by rejection letters. And even after she published the book and it became a huge success, she found herself identifying strongly with her former self -- and feeling the urge to quit the fame game and move to the country to raise corgis. In this TED talk, Gilbert reflects on the strange and unlikely psychological connection between how we experience great failure and how we experience great success. She then offers simple (though hard) advice for making sure Carol Dweck starts her talk off with a short but powerful story about a high school in Chicago where students didn't receive failing grades. Instead, they received the grade ""Not Yet."" The grade implies that not passing the course doesn't mean you're going nowhere, but rather you're on a learning curve. Dweck uses this story to frame the rest of her TED talk, where she talks about her research on ""growth mindset"" -- the idea that we can actually grow our brain's capacity to learn and to solve problems. She talks about two different ways to approach a problem that's just a little too hard for you to solve: Are you not smart enough to solve it ... or have you just not solved it yet? I'm a long-time fan of Isabel Allende, author of (among other wonderful books)  She's 71 years old, but says she's still 17. Hey, why let society decide when you're old? In her TED talk, she talks about how we all experience age differently. She talks about her fears as she gets older, and shares how she plans to keep living passionately. Through aging, she says she's gained freedom -- mainly, the freedom from having to prove things to people anymore. ""My body may be falling apart, but my brain is not, yet,"" she says. ""I love my brain. I feel lighter. I don't carry grudges, ambition, vanity, none of the deadly sins that are not even worth the trouble. It's great to let go. And I should have started sooner. "" When have you, or others in your life, opted out of being creative? Many organizations divided people into categories: Either you're a ""creative,"" or you're not. But designer and educator David Kelley suggests that creativity is not limited to a chosen few. In this TED talk, Kelley tells really interesting, touching stories from his legendary design career and his own life, and offers ways to build the confidence to create. He believes that when people gain this confidence, they start working on the things that are really important in their lives -- and come up with more interesting ideas. Boniface Mwangi is a photographer whose job was to document the horrific violence in his home country of Kenya -- and watched as his government kept it silent. Finally, he made a plan to protest against the corruption: During a large public meeting where the Kenyan president was speaking, he and a few friends would stand up and heckle the president to get his attention. He says what he decided to do in that moment showed him who he truly was. As he says, ""There are two most powerful days in your life. The day you are born, and the day you discover why."" visceral, body-hijacking sense of fear kicks in in front of 20 folk-music fans at an open mic night. Kowan used to just write songs, but at some point, that wasn't enough anymore. He had all these stories and ideas he wanted to share with people, but his stage fright was keeping him from doing it. The week of his 30th birthday, he decided to put that fear behind him, a process he describes in this talk. Body language can have profound effects on how others see us. We make sweeping judgments and inferences from body language, and those judgments can predict really meaningful life outcomes -- like whom we hire or promote, whom we ask out on a date, and so on. But, even more importantly, body language can affect how we see  Social Psychologist Amy Cuddy's research on body language proves that we can actually change other people's perceptions of us (and even our own body chemistry) simply by changing body positions. In this TED talk, Cuddy specifically talks about how ""power posing"" -- i.e., standing in a posture of confidence, even when we don't feel confident -- can affect testosterone and cortisone levels in the brain. If we do it for even two minutes at a time, it can have profound positive impacts on how we feel and whether we succeed. Where does creativity come from? Are some people born with it? Is creativity a function of some other neurological quirk, like psychosis or depression? Are some people equipped with certain skills that enable creativity, like artistic ability? Or is creativity developed mostly through experience? You may know Amy Tan as the author of  or one of her other well known books. In this TED talk, she dives into her own creative process and stories of her life that could lend a clue to where it comes from. She reminds us that, in our moments of doubt, even if there is an answer, there is uncertainty in everything -- and that's a good thing. In fact, that space where the uncertainty is can be the birthplace of creativity: She finds that by filling those holes with her own imagining, she can find particles of truth and discover new possibilities she'd never considered before. In this TED talk, Colantuono shares a simple and surprising piece of advice. The talk's aimed primarily at women, but there are universal takeaways in here for men, too, as well as for new graduates and mid-career workers.",Lindsay Kolowich
2016-04-20,https://blog.hubspot.com/marketing/interview-questions-ask-hiring-managers,14 Questions Job Candidates Should Ask to Impress Interviewers,"""Do you have any questions for me?"" We've all been on the receiving end of that question in an interview. If you're prepared, you've probably got some good questions you usually cycle through. But we want to be better than ""good"" in an interview. We want to be standout candidates that hiring managers are excited to extend an offer to. ""I'm always surprised at the lack of good questions candidates have, and I always respect the candidates that ask insightful questions during interviews,"" says  , VP of Learning and Development at HubSpot. To help you prepare to stand out at your next interview, here are some questions that'll make hiring managers' ears perk up. Try them at your next interview and see how the conversation changes. It's not terribly difficult to find a candidate that can execute on a role. It   terribly difficult to find a candidate that can not only execute on their role, but also understand how it fits into larger goals. This includes being able to self-manage, prioritize high-value activities, and grow their role in a direction that aligns with the company's growth.  This information can be hard to come by if your company isn't very communicative or transparent, so this is a good chance to get that information while the gettin's good, and use it to guide your decisions if you land the role. This question shows that you're the type of person who likes to hit the ground running, instead of spending a week filling out HR forms. It also shows that you recognize patterns of success and want to replicate only the most effective performers. Every company has its weird nuances, its own environment, and its own unspoken expectations. This helps you start with a little bit of the insider info so you don't suffer a case of ""if I knew then what I knew now"" in six months. Asking a question like this shows that you're goal-oriented and aren't afraid to be held accountable for those goals. You don't shirk accountability. You welcome it -- and will work hard to hit the goals you're responsible for. It's shocking how many people don't actually know what they want from their employees beyond a vague idea of some work that needs to get done. Asking this question will force a hiring manager to figure it out -- and then can communicate it to you, so you can execute on it. A question like this indicates that you're already envisioning yourself in the role and thinking through a plan of attack, should you land the gig. It's also a sign that you're well aware that no job comes free of roadblocks. It shows that not only are you not afraid to deal with those challenges, but you're also prepared for them. bureaucratic processes, internal politics, and so on. You can use that information to decide that the role really isn't a good fit for you ... or that you're up for the challenge. While the interviewer might be trying to paint a pretty perfect picture of what working on the team might look like, asking this question will help you uncover some of the realities the team has been facing recently.  It really helps to know what challenges you could find yourself or your team up against ahead of time. In some cases, it could affect whether you accept the role. Not only that, but learning about these challenges could give you some great insights into the steps the team has taken to overcome these challenges already. This question gives an interviewer a chance to do two self-serving things: talk about themselves and perform a no-holds-barred sales pitch on the company. For promising candidates, the sales opportunity is welcomed. And most people love any excuse to talk about themselves. ;) This gives you insight into what motivates your future colleague or manager, as well as insight into what the company offers its employees. If those all line up with what you're looking for in a job, you've got yourself a good fit. If your interviewer has been at the company for several years, understanding why could give you some really interesting insight into the company, how it treats its employees, and a taste of what motivates the people who work there. Plus, it shows you've done your research on the interviewer, which is always an impressive sign. Depending on the interviewer's answer, you might learn something about the company's career training, leadership opportunities, workplace flexibility, internal job opportunities, and more. You might dig a little deeper by following up with related questions, like, ""What do you enjoy most about working here?"" Do they take the time to go out? Do people bring lunch but eat in groups? Do folks normally eat at their desks because they're too busy to socialize? Asking this question serves as a great way to find out a little bit about the company culture. Plus, this is a more lighthearted question that might relax a stiffened atmosphere or lead to a conversation about shared interests. Along with learning about company culture, it doesn't hurt to get a few good lunch suggestions for the future. This is an impressive question because it shows that you can make the connection between how the company thinks about its customers and the end result. In other words, how the customer is treated on a day-to-day basis, and in turn, how that shows up in the product.  While you might be able to find a canned response to this question on the company's website, it'll be useful -- and possibly eye-opening -- for you to hear it more candidly from an employee. How the company treats its customers could end up informing your decision to join if you are offered the job, especially if you're applying for a job where you'll be communicating directly with customers. Ever work with people that just   That's who hiring managers are looking for. This question demonstrates that you understand a job is about more than just going through the motions. Successful people have a specific frame of mind, approach, attitude, work ethic, communication style, and so on -- and you want to know what that mix looks like at this company. Because these characteristics are often hard to pin down, this question forces a hiring manager to articulate that ""it factor"" they're really looking for -- even if it wasn't written in the job description. Asking a question like this shows you're interested in getting a practical example of what success looks like to the manager of the team you'd be joining. Plus, when you phrase the question in this way, ""you leave no room for a hypothetical answer,"" says  , a recruiting team lead here at HubSpot. Instead, you're pushing the hiring manager to think about their top performer. Because this question forces an example, the answer to this question will give you a strong idea of what success actually looks like. That way, you'll learn what it takes to impress your colleagues and be a star candidate. Follow question #9 with this question, and you'll show the hiring manager that you're really trying to get a concrete idea of what to do and what not to do as an employee on the specific team you're applying to join, says Fernandez. And while this question can make a manager uncomfortable, it's impressive because it shows that the candidate is not afraid to ask tough questions. First, you'll get an idea of what poor performance looks like, which will help you set expectations for the position. Second, you'll learn how the hiring manager handles a tough question like this -- which can teach you something about how office politics are handled in general. If you would be working with the person interviewing you, this is another tough question that can give you some insight into how the team works. It pushes the hiring manager to think about how he or she would handle an uneasy situation, while at the same time showing your level of maturity in that that you (realistically) expect to receive tough feedback sometimes. Just like different people take negative feedback differently, different people give negative feedback differently. Does this person tailor their feedback approach depending on whom they're giving feedback to? Do they make feedback a two-way street? Their feedback style -- especially when it comes to negative feedback -- will help you understand how well you would be able to work with them. This question shows that you're not afraid of critical feedback -- in fact, you welcome it. Interviewers tend to make note of red flags -- whether it be something on your resume or something you said -- to discuss with a colleague following the interview. This question gives them the green light to ask about any of the things that are holding them back from being 100% on board with hiring you. You get a chance to address concerns face-to-face without being too confrontational. This could be the difference between an offer and a rejection -- or maybe even a higher opening offer.",Lindsay Kolowich
2016-04-20,https://blog.hubspot.com/marketing/snapchat-is-growing-up,Snapchat Is Growing Up,"Whether or not you use it, we’ve all heard of Snapchat. And regardless of your preconceived notions about it, this photo and video sharing app has quickly become popular with adults over the last year, making it a serious contender in the social media world. Snapchat is no longer just for teens, so how can marketers take advantage of this increasingly mainstream tool?",Courtney Williams
2016-04-20,https://blog.hubspot.com/marketing/simple-productivity-tips,How to Find Your Flow: A Simple Guide to Better Concentration & Higher Productivity [Infographic],"Ever gotten so ""in the zone"" at work that you completely lost track of time? This intense state of concentration is sometimes also called ""flow."" Your whole world becomes you and the project you're working on -- and it feels great to emerge from that state after getting a whole lot done in not a lot of time. If you're like most people, achieving ""flow"" only happens every once in a while. In fact, the average office worker gets interrupted from their work every three minutes. Thankfully, if you combine self-discipline, good habits, and a productive work space, you can retrain yourself to get into a deep state of focus when you really need to.   to learn helpful tips on getting ""in the zone"" and increasing your productivity when it really matters. (Be sure to check out the flowchart in there on whether a meeting is  worth your time.)",Lindsay Kolowich
2016-04-19,https://blog.hubspot.com/marketing/professional-content-mistakes,8 Mistakes Even Professional Content Writers Make (And How to Avoid Them),"I’ve done   of dumb things as a writer. But that’s okay. Mistakes are the best way to learn, right?  When we make a mistake once, we usually don’t make it again. And the less time we have to spend correcting our mistakes, the more time we have to actually get things done.  I've outlined a list of eight common mistakes that professional content writers sometimes make below. The idea is that once you learn about these mistakes, you’ll be less likely to commit them yourself. Let's walk through them ... Some people tend to think that writer’s block is an unbreakable force -- nothing can be written until the block is broken. The truth is, you   break writer’s block. Some people  , but there are other  , too.  Next time you experience writer’s block, try shifting your mindset. Don’t think, “Oh no! I can’t write.” Instead, think, “Okay, I’ve got this. I’m going to make it.” Want more advice on how to beat writer's block and actually enjoy writing again?  . You need time to edit your writing when it’s   In other words, let some time pass before you go back and work on that article again. You’ll view it with a new sense of curiosity, perspective, and insight. Not everyone loves editing. I get that. Look at it this way, though: Editing turns something   into something even   That’s something to look forward to. For advice on how to approach a piece of content, check out   from HubSpot's Ginny Soskey. After you edit, you need to proofread, too. Editing is making those big changes to the content itself. Proofreading is making the tiny changes to the grammar and spelling. I’ve made a habit of never releasing a word of content until it’s been edited or proofread at least four times. Proofread, and proofread again. You’ll be glad you did. You may be the world’s most brilliant writer and master of your subject, but you should do a little bit of research on your subject matter. People aren’t as impressed by your opinion as they are by a breadth of studies, data, evidence, and other information that  Get ready for hard work, though. Here’s how   process: Research can be fun. When you realize that you’re providing your readers with insight and advanced knowledge, a simple writing project can take on a new level of excitement. Need help uncovering credible statistics to support your content,  . Huh? What does “not defining your pronouns” mean? Allow me to explain ... The following words are  : There are a lot of pronouns in the English language. Pronouns are helpful, useful, important parts of speech. What is the problem? Not defining them: You should define all pronouns either within the context of your writing or within the sentence. Undefined pronouns lead to unclear writing. There’s no   writing speed. Each writer should write at the pace that suits them and allows their creativity to flow. However, be aware that your speed of writing influences your   of writing. When reading  the mind goes over information faster than while writing  Keep this in mind when you write. Your mind easily processes long sentences or big words when you’re writing them. But to the reader --   -- your writing is dull, ponderous, slow, and agonizing. If you write fast, your brain is moving at a closer equivalent to the normal reading speed. Of course, you should still pay attention to your words, sentences, and structure. But at the same time, you’ll be able to get down those thoughts in a more fluid and natural way. Here’s how the  reported on one writing speed researcher: A 2016 study from the University of Waterloo  , “the quality of your writing will likely get better if you simply type slower.” Does this mean that you should try to move your fingers slowly, type with one hand, or just trudge along at a lazy pace? Not necessarily. Each person has their own   And different types of content demand a slower or faster pace. You move at the pace that’s best for  In some situations, the ideas and words are coming at an incredibly fast rate. You have to type as fast as you can. In other cases, you might be doing careful research, searching for the precise word, or writing about a sensitive subject. Slowing down is a good idea. If you want to become a better writer, become a better student of your reader. It’s actually pretty simple. Great writing is connecting with readers in a meaningful way. You won’t be able to perform that task unless you  I challenge all writers, before putting a single word on a page, to do as much research and gain as much understanding of their potential readers as possible. The process is as simple as going through the exercise of   and reminding yourself of that person every time you write. ( .) Outlining might bring back memories of high school English class. Don’t worry. That’s not what I’m talking about here.  The process of outlining is simply creating a structure for your article. I do a lot of writing, and one of the things that helps me write with  First, I jot down a quick introduction and conclusion. This helps me to lead up to my subject matter, and then sum it up. Doing so also makes me fill the empty space between with something relevant and meaningful. Generally, my outline simply looks like a few bullet points. My goal is to write down the main things I want to talk about. Usually, they aren’t even complete sentences. (No big deal. I’m not writing my article at this point. I’m just outlining it.) The whole process takes me ten minutes or so, but it saves me hours of time. Plus, it gives my article more clarity. Writing better is about blowing apart old habits and horrible mistakes. Even though I’ve been writing almost every day for ten years, I still make mistakes. Hopefully, my mistakes are becoming fewer and fewer, but I still catch myself making them sometimes. At the same time, however, I feel like I’m improving. And that’s what becoming a better writer is all about.",Neil Patel
2016-04-19,https://blog.hubspot.com/marketing/basics-of-website-security-for-ecommerce,Safety First: The Basics of Website Security for Ecommerce Retailers,"If a retailer has an insecure website, then, all other marketing and inbound efforts simply won't bring results. Here, we run through some basic security practices that all ecommerce retailers should employ to make sure that their website is a secure, successful online destination. The PCI Security Standards Council is a global group — whose founding members include American Express, Discover Financial Services, JCB International, MasterCard and Visa Inc. — formed to develop, enhance and maintain security standards for payment account security. Together, the members of this group came up with a set of security requirements, known as the Payment Card Industry Data Security Standard (PCI DSS) that all merchants or organizations that process, store, or transmit credit card information must adhere to. There is good reason for this: these guidelines ensure that all stored credit card data is protected and that sensitive information is secure throughout the transaction process. Many companies meet these guidelines through the use of tokenization: Staying PCI Compliant and ensuring that all stored credit card data is fully tokenized in this way greatly reduces the risk of this sensitive information being stolen and used. Keeping this data secure is extremely important for all online retailers: if cardholder data is stolen, their credit can be negatively affected and they could lose credibility, money, and even their business. The SSL Certificate — also mandatory per PCI — also works to ensure that the sensitive information that is sent over the internet is encrypted and secure. When retailers or site visitors send information or data over the internet, it gets passed through multiple computers before reaching its destination server. At any point during this chain, it could get stolen if it is not encrypted with an SSL Certificate. How does the certificate work? It essentially makes all sensitive information —which includes passwords, credit card information, and usernames — unreadable for everyone except the destination server, thereby protecting all communication from eavesdropping and theft. It is particularly valuable for ecommerce retailers not just for security reasons, but also to build trust with site visitors and prospective customers: attaining an SSL certificate essentially verifies an entity’s credentials, certifying that they are who they say they are and that their site is safe to visit. Make sure to watch for changes in requirements - such as the recent change from SHA1 encryption to SHA2 encryption - to make sure your company stays compliant. Hypertext Transfer Protocol with Secure Sockets Layer, or HTTPS, is a protocol to transfer data over the web that should be used instead of HTTP on all pages where data is created. Once again, the issue here is all about encryption. With HTTP, information is not encrypted — instead, it is sent as plain text, which means that anyone can intercept it and read what has been sent. Further, many customers know about this insecurity and tend to avoid ecommerce websites that use HTTP. This means that keeping HTTP could hurt a retailer's security and their business over time.   It’s important to note, though, that HTTPS isn’t necessary on every page of a website. Why? If retailers try to include it everywhere, it will slow their page load speed and likely hurt their business. Instead, HTTPS should just be used on pages that collect and store data so that site visitors customers can feel secure sending their information. That means skip the homepage, about us page, etc.  DoS and DDOS protection work to guard against denial of service and distributed denial of service attacks. Denial of Service and Distributed denial of service: During both denial-of-service (DoS) and distributed denial of service (DDoS) attacks, attackers attempt to block legitimate users from accessing information or services by flooding a network with requests, thereby overwhelming the bandwidth of the targeted system and preventing legitimate requests from coming through. While both attacks work in the same way, the key difference is that a DoS attacker usually uses a single computer and internet connection, while a DDoS attacker uses multiple connected devices, making the flood of information that much larger harder to deflect. There are many ways to protect from DoS and DDoS attacks. The easiest and most expensive way is to buy more bandwidth. Think about it: during these attacks, they’re trying to flood your space, so if you have a ton of space it will be more difficult for attackers to overwhelm you. However, this is a largely impractical solution -especially for DDoS attacks - since in today’s day and age the attacks are just too large to overcome. However, there are more inexpensive and effective other ways to mitigate attacks. Setting up effective, well-configured firewalls, for example, can prevent this attack traffic from reaching your computer. As the name suggests, a firewall is a hardware or software system that essentially works as a wall or gateway between two or more networks, permitting authorized traffic and blocking unauthorized or potentially malicious traffic from accessing a network or system. Like an actual wall. It essentially protects what is inside a network from the outside — a.k.a from other networks or from threats on the internet like backdoor and DDoS attacks. Since ecommerce websites have a lot of inbound traffic, they need firewalls to protect themselves against malicious entry. There are many different kinds of firewalls, but two very effective firewalls for online retailers are application gateways and proxy firewalls. Both function as intermediary programs between two or more networks, meaning that incoming traffic has no direct connection or access to a retailer's network. With an application gateway in place, there are two lines of communication: one between your computer and the proxy, then one between the proxy and the destination computer or network. It’s essentially a checkpoint that all network information has to stop at. By serving as this middle point, the application gateways help hide and protect your network from others’, only letting in traffic -or packets -that have been authorized. Proxy firewalls are among the most secure. Why? Like the application gateway, the proxy serves as an intermediary connection. However, they take it one step further -instead of your network connection going all the way through, a new network connection is started at the proxy firewall. This means that there is no direct connection between systems at all, which makes it even harder for attackers to discover your network and get in. It is important to note that, for a firewall to be effective, it has to be properly configured. What does this mean? Well, firewalls don’t automatically know which traffic is malicious — they need to be programmed with this information. Make sure, then, that whoever sets up the firewall is properly configuring it so that all of the right information gets through. By staying on top of all these security measures, online retailers can effectively build their customers' trust and their own company's reputability, taking the first steps to ensuring that they have a successful, long-lasting online presence.",Caroline Ruhland
2016-04-19,https://blog.hubspot.com/marketing/top-ways-to-use-user-generated-content-ecommerce,The Top 3 Ways to Use User-Generated Content in Ecommerce,"Social proof is essential to any marketing strategy. User-generated content (UGC) in the form of customer reviews and pictures addresses the ecommerce pain point of uncertainty that affects shoppers and store owners alike, while providing social proof.  Shoppers sometimes hesitate to buy online because it can be difficult to gauge information about the fit and quality of items without seeing them in person. Conversely, ecommerce store owners are challenged to build trust with site visitors and communicate the sense and feeling of tangible products through the barrier of a digital screen. Customer opinions and experiences give shoppers the information they want and the confidence they need to convert into buyers, while providing online brands with a gateway to build relationships with their audience. This is where UGC comes in. Here are three of the top ways that you can leverage UGC to grow your business:  Customer reviews and pictures build a shopper’s confidence in a brand by providing relatable information and authentic answers to questions that may otherwise keep someone from buying. Including user-generated content throughout ecommerce stores—such as on the homepage, checkout page and product pages—makes the online shopping experience more dynamic by addressing specific pain points with genuine customer experiences. Enabling a conversation between interested shoppers and past buyers builds a community around a brand, providing social proof for the products and for the brand as a whole. Such communities break down barriers between individual online shoppers, which in turn creates an emotional connection with the brand and leads to conversions.  is an effective way to engage with your audience and increase retention by making them feel appreciated and valued. User-generated content is a powerful tool for building social proof and one of the most effective ways to build trust on social media. Social ads are a way to broaden your reach and influence shoppers while they are not actively shopping. To people scrolling through social media, a often times a brand-sponsored ad sticks out like a sore thumb and is easily ignored.  by providing immediately visible social proof by including authentic customer reviews and photos in social ads allows you establish a relatable brand image and brings more shoppers to your site. Yotpo data shows   by 300% and leads to a 50% drop in both cost-per-click and cost-per-acquisition. Customer reviews differentiate your company and products from all of the other search results that come up. They not only attract shoppers’ attention,   and in turn to more reviews. Using UGC in your paid and organic search engine marketing activities such as product listing ads and rich snippets enhances your search listing and makes it more enticing for shoppers to click through. When shoppers see customer reviews in the research phase of the buyer journey, it gives your product an edge over other search results and encourages them to go to your site. Happy customers are one of your most valuable marketing resources. Encourage them to provide user-generated content, which you can repurpose throughout the buyer journey, by making them feel valued, engaged and appreciated.",Joanna Alter
2016-04-20,https://blog.hubspot.com/marketing/video-editing-software,7 of the Best Pieces of Free Video Editing Software,"Not sure if video marketing is worth your time? Here's an eye-opening statistic for you:  , businesses that use video grow revenue 49% faster year-over-year than businesses that don't. Still not convinced?  . Of course, even if you are completely sold on the idea of incorporating video into your business's marketing program, there's still the issue of actually   the videos. And in order to do that, you're going to need some video editing software. If you have a PC that's running Microsoft Windows, or an iMac/Macbook, there's a good chance you already have video editing software installed on your computer. For Windows, that's  , and for Macs, it's  . However, depending on your particular skill set and/or what it is you're trying to accomplish with your videos, you may find that the above options are either too complicated or not packed with enough features. The good news: There are several free video editing solutions you can download that run the gamut from super simple to Hollywood-level powerful. At the simple end of the spectrum is Machete Video Editor Lite, which allows you to cut, copy, and paste different sections of video.  , Video Editor Lite was ""designed for quick and simple 'slicing' of your video files."" The program's intuitive interface means you won't have to waste time shuffling through technical support documents. And because Video Editor Lite doesn't re-encode your video files when you slice them, you don't have to worry about losing video quality. The main downsides to the program? It only supports the AVI and WMV video formats, and it doesn't allow for audio editing. Still, if you have zero video editing experience and only need to make simple edits, it's a great option. Like Machete Video Editor Lite,   allows you to do basic video editing (no audio editing) without having to worry about loss of video quality. But Avidemux also has a few more tricks up its sleeve. For starters, the program supports multiple video formats, including AVI, DVD, MPEG, QuickTime, and MP4. What's more, Avidemux comes with several filters that allow you to perform a host of different functions, from flipping and rotating clips, to adding subtitles, to adjusting colors and brightness levels. And while the learning curve for Avidemux is slightly steeper compared to Machete Video Editor Lite, the upside is that   that covers everything you need to know. Cloud-based video editing software (i.e., software that you access via a browser instead of downloading directly to your hard drive) is growing more and more popular. And one of the programs leading the charge is  . Compared to the first two programs on this list, WeVideo definitely offers some more advanced features and functionality, including audio editing capabilities and a library of commercially licensed music. However, the free version of WeVideo isn't without its limitations. One major downside is that you're only given 5GB of cloud storage. If you're making a one-off video, this is fine. But if you're planning to edit multiple videos you'll definitely need more space. The free version also puts a WeVideo watermark on your videos, which isn't ideal. For a complete breakdown of the differences between WeVideo's free and paid options,  . In experienced hands, the   can produce some seriously professional-looking video. In addition to supporting nearly every major video format, the program offers advanced video effects, including object transformation and color correction, as well as advanced audio effects like volume correction and sound normalization. And unlike WeVideo, the VSDC Free Video Editor is truly free. You can use the program's full feature set without having to deal with pesky watermarks. But unfortunately, there is one catch. If you want technical support, you need to pay. (And because there is a bit of a learning curve, there's a good chance you'll need to.)   (formerly Wondershare Video Editor) is the perfect option if you want to start out with basic video editing functionality while also having the opportunity to get more advanced as you go. The program's ""Easy Mode"" strips away the complexity so you can drag and drop video clips, choose a pre-designed theme, add some music, and produce a finished video in a matter of minutes. Go into ""Full Feature Mode,"" however, and you'll be able to do much, much more -- from adding transitions, filters, and overlays, to playing video clips in reverse, to using split-screen effects. Sound too good to be true? Welp, you're right: The free version of Wondershare Filmora adds a watermark to your videos that  . Like Blender,   is definitely on the more advanced (and powerful) end of the video editing software spectrum. In fact, it's a program that's been used to edit some well-known and award-winning films, including  ,  , and  . There are two different licenses you can choose from with Lightworks: ""Free"" and ""Pro."" (The latter of which, as you might have guessed, requires that you pony up some cash.)  The main difference between the two licenses is that the Pro version offers more features, including stereoscopic output and advanced project sharing. But the free version is still quite powerful, providing 100+ effects and supporting multicam editing. Too see the complete list of differences between Lightworks Free and Pro,",Erik Devaney
2016-04-21,https://blog.hubspot.com/marketing/how-to-memorize-a-speech-infographic,How to Memorize a Speech Using Visualization Techniques [Infographic],"If you've ever tried to recite a speech entirely from memory, you've likely discovered that it's no easy task. And it's not just the sheer brainpower required to memorize a speech you've written ahead of time that makes it difficult -- having to recall that speech   adds a further level of complexity. Fortunately,   walks you through the process of memorizing a speech, step by step.  Instead of having you memorize text verbatim, the infographic shows how you can use visualization techniques to organize different sections of your speech in your memory. The infographic also offers several tips and tricks for boosting your memory, from eating foods rich in fatty acids, to taking naps.",Erik Devaney
2016-04-22,https://blog.hubspot.com/marketing/workspace-productivity-tips,How to Turn Your Workspace Into a Den of Productivity,"When it comes to improving productivity in the workplace, much of the advice we hear centers around the mindset or motivation of the individual in question -- advice like "" Unfortunately, not every workspace is going to have a ton of natural light shining in. One potential solution? Invest in smart LED lighting (e.g.,   or  ) that mimics natural sunlight and can help maintain your body's circadian rhythm. Music doesn't do the trick for you? That's okay. In fact, there's also   out there that argues that music can actually be too distracting. If you find it's too hard to concentrate with music playing, try embracing silence. Or, try listening to music   you get to work, which can help you get pumped up for the task at hand. Note: While it's unclear whether feng shui actually works,   that de-cluttering your desk can help improve focus as well as your ability to process information.",Erik Devaney
