title,url,author,comments,categories,date,contents
AD: Great deals for demonstrator BMW vehicles at Wearnes Autohaus Auto Fair this February,,Harvinder Sidhu,,"Advertorial,Sales & Promotions",2016-02-02,"Great deals are available at Wearnes Autohaus Segambut (KL) and Tebrau (JB). Demonstrator BMW vehicles can be yours with monthly instalments from as low as RM1,988 per month*! Now that is as good as it gets, basically. The offer stands until February 29, 2016.As always, BMW Credit Financing plans will be available, with various financing solutions to fit your needs. All new BMW models now come with a five-year, unlimited mileage warranty with free scheduled service (in accordance with the on board Condition Based Service system), along with a two-year unlimited mileage warranty* for all factory fitted and replacement of any BMW Approved Star-marked tyres. On top of this, test drive your preferred BMW model at Wearnes Autohaus, and you can draw a lucky  to stand a chance to win a share of more than RM1.2 million in cash vouchers to purchase a new 2016 BMW vehicle of your choice!For more info, feel free to contact Wearnes Autohaus or visit their . Alternatively, you can also check out their  for all the latest updates, or just swing by the showrooms below."
Ford GT ownership includes tough selection process,,Gerard Lye,"[(u'calcutta', u'damn!no wonder my submission fail'), (u'PeterGriffin', u'250 Ford GT in the world, 250 Ford GTs,'), (u'Black Dog', u'\nOne bought by Sultan Brunei, 249 Ford GT left in the world,')]","Cars,Ford,International News",2016-02-02,"At last year’s North American International Auto Show in Detroit, the Blue Oval surprised everyone when it revealed the . The highly-anticipated model is set to go on sale this year, but the process of owning one isn’t just about how large your bank account is, as potential owners will have to go through a rigorous selection procedure for the 250 GTs that will be available at the end of 2016.In a report by , the process to Ford GT ownership starts with online applications, which are expected to go live later this month. “There’s a loyal following to the car,” Raj Nair, Ford’s product chief, said in an interview. “We want to prioritise people who are going to care about the car, keep the car and drive the car,” he added.Questions in the application form include how many Ford vehicles the applicant has previously owned, how active they are on social media and how often they plan to drive it. “It will try to understand what your relationship with Ford is,” Nair said.Successful applicants will be required to sign a legal document, whereby they formally agree that they will not sell the vehicle for a certain amount of time to help prevent buyers from flipping them quickly for a quick buck (ala property). That should scare way buyers who simply want to turn a quick profit on the supercar. This selection process mirrors the LaFerrari buyer selection method. The Italian automaker similarly requires die-hard Ferrari owners to submit their names to a list. Corporate bigwigs in Maranello will then decide upon the potential candidates from the list, before they are then granted permission to purchase a LaFerrari. Rumour has it that you’ll need to own at least five Ferraris (in good condition) to even be considered.It’s easy to see why the Ford GT is attracting this much attention. Beyond its contemporary styling, the American supercar packs the most powerful EcoBoost motor ever produced – a 3.5 litre EcoBoost V6 delivering over 600 hp. The GT’s return also marks the 50th anniversary of Ford’s first Le Mans win, where coincidentally, a  will make its debut in said race this year."
RM27.8 mil spent on improving road safety last year,,Anthony Lim,"[(u'FIST', u'Please also have regulations on those LED advertisement boards. Some are too bright especially those along the Federal Highway. I had to use the sunshade at 6.15 am!'), (u'mr_em', u'just to show how much this Govt value the lives of its citizens\u2026. RM27.8million is peanuts\u2026.'), (u'Ron Nard', u'\nthey can waste billions on white elephants or even make it  disappear into a blackhole\u2026.'), (u'what2', u'If they really give a damn about our safety in this country, Make minimum of 6 airbags and Vehicle Stability Control MANDATORY on all new vehicles. just because we are a third world country, safety is a luxury? start educating malaysians on modern day safety technology such as collision prevention systems, lane keeping assist and everything else!'), (u'gt4', u'wow imagen if we use 2.6 billion'), (u'ben yap', u'Please put all the expenses, cost and locations in your website so we all can appreciate it!'), (u'Sorchai', u'RM27.8 mil spent on improving road safety last year but\u2026.'), (u'hahaha', u'\nRM2.6 billion is given to mr Jibby!')]","Cars,Local News",2016-02-02,"The government said that it spent RM27.8 million on improving road safety last year, the amount being used to carried out rehabilitative work in 60 accident prone locations on main roads and highways. According to Works Minister Datuk Seri Fadillah Yusof, this was part of the government’s efforts to boost the level of road safety in the country,  reports.“The government and I personally are very concerned and sad at mishap cases, especially those involving deaths and causing grief to the victims’ families,” he said, adding that while better roads were important, so was the attitude of road users. He said that it was not worthwhile to have first class highways and roads but have motorists who did not adhere to the regulations.Fadillah also said that the ministry had issued a stop work order at major highways for 14 days, beginning from February 1, saying the measure was taken to ease congestions on the highways due to construction and maintenance works. “However, critical work is exempted (from the stop work order),” he explained.He added that the ban on heavy vehicles on major roads and highways for four days this month, on February 6-7 and February 13-14, will be enforced by the Road Transport Department (JPJ)."
VIDEO: 2017 Honda Ridgeline makes the sheep sing,,Danny Tan,"[(u'Poynong', u'Pondan truck.')]","Cars,Honda,International News,Videos",2016-02-02,"Super Bowl 50 is happening this weekend, but aside from the big game between the Denver Broncos and Carolina Panthers, there will be  as brands jostle for attention. Here’s a cute one from Honda promoting its  truck.The 60 second ad, dubbed “A New Truck to Love,” highlights the Ridgeline’s unique in-bed audio system which utilises six exciters inside the bed walls in place of conventional speakers, with up to 540 watts of power. The outdoor audio system gives a bunch of sheep singing lessons, and they do pretty well with Queen’s “Somebody to Love.”Honda says that the ad will be shown in the third quarter and that it studied the movement of sheep’s mouths to determine how their facial muscles might react while singing. What? “Great Super Bowl spots are entertaining for the fans while communicating an essential value of the product, and we believe our Honda Ridgeline commercial accomplishes both objectives in dramatic fashion,” said Honda senior VP Jeff Conrad. Audio system aside, the new Ridgeline’s has a lockable In-Bed Trunk and a dual-action tailgate that can swing downwards or sideways, all unique in its class. , the mid-size truck is powered by a 3.5 litre i-VTEC V6 mated to a six-speed auto, available in both FWD and AWD. Best-in-class acceleration and fuel efficiency are claimed. Full details on the ."
"New G11 BMW 7 Series launched in Malaysia – 2.0 turbo 4cyl 730Li and 740Li, from RM599k",,Danny Tan,"[(u'omegle', u'if they CKD the plug in hybrid, oh what a fight it would\u2019ve been with the s400h\u2026'), (u'gaviny', u'wait for this to appear on Uber'), (u'Please Buy 2nd Hand - BMW King of Depreciation', u'Buy 2nd hand. I just bought a 2011 brand new condition BMW AB 740li accident free with 50k mileage for RM165k. Brand new 4 years ago, the owner bought RM880k. Now even I use the car few years also, I can sell for, say RM90k. The first owner lost over RM700k in 4 years.'), (u'superman', u'To all buyers, whether corporate or private, let the first fool absorb the depreciation. Buy this car 3 or 4 years later for RM180k.'), (u'Beemers1916', u'Even if you are a Corporate, save your company money by buying 2nd hand. Let the first buyer absorb the depreciation of over RM500k.'), (u'2.08bil', u'Now can someone pls explain IS THIS IN PAR WITH PROTON? this is a pinnacle of automotive technology\u2026 the person who said that about proton in par with BMW needs to be sent to mental institution\u2026'), (u'US$81k Price = RM788k', u'In conjuction with BMW 100 years anniversary, i have an exclusive plate number \u2018BMW1916\u2019 for sale. POA. Email me at ownerbmw1916@gmail.com for further details. Thank you Paultan. YNWA!'), (u'TonyT', u'Belakang macam Camry je\u2026.'), (u'Leo', u'In US, the BMW 740li is US$81k. BMW Malaysia being country distributor will get this car at cost price of about US$50k. (About RM250,000)'), (u'Sky', u'Isn\u2019t time for Najib to stop taxing Malaysians so much? How much Najib want to hantam Malaysians? Already hantam us on overpriced petrol, should be 90 sen but we pay RM1.85.'), (u'berserker', u'Best tech\u2026yes, beautiful design\u2026no. In fact it\u2019s never a good looking car for the entire 7 series.'), (u'Jimmy', u'Even Ford Mondeo is using 1.0 Ecoboost.. I\u2019m not really surprised to see 2.0 turbocharged engine being used in the new 7-Series. Attractive price at 600k for big sedan with plethora of new technology at disposal, hopefully it will give S-Class a bang for its buck'), (u'Wiwiwiwiw', u'I need some donation to buy this car.'), (u'Wiwiwiwiw', u'A property price tag moving on the road.'), (u'sama lor', u'1.  Active side collision prevention, how does it work?'), (u'nekajis', u'\n2.  8 airbags ought to be 2 frontal, 2 curtain, 2 front side and 2 rear side, I repeat, 2 rear side airbags, not 2 knee airbags.  The importance of side airbags is that it pushes you to the midde when collision occurs, further from direct impact.'), (u'seancorr', u'\n3.  Sleep comfortably at the back.'), (u'choha', u'\n4.  The price is very reasonable.'), (u'GermanMarqueLover2016', u'The world\u2019s most expensive G11 BMW after singkapoh')]","BMW,Cars,Local Car Launches,Local News",2016-01-29,"The new BMW 7 Series has been officially launched in Malaysia. Munich’s limo and flagship saloon, now in its sixth generation (check out this nice ), will provide competition to the , ,  and . The G11 (we only get the long-wheelbase variant, so it’s G12 technically) is available here in 730Li and 740Li forms.The long-wheelbase 7 Series has a larger footrpint than before, at 5,238 mm long (+19 mm), 1,902 mm wide (unchanged) and 1,479 mm tall, with a 3,210 mm wheelbase (also unchanged). To compare, the LWB W222 S-Class is 5,246 mm long and 1,899 mm wide, with a 3,165 mm wheelbase. So, the BMW is 8 mm shorter overall, but has a 45 mm longer wheelbase than the Merc.While it might not look worlds apart from its predecessor, the new 7 Series is all-new and high-tech underneath. BMW’s Carbon Core construction – with tech gleaned from  development – utilises a combination of carbon-fibre reinforced plastic (CFRP), magnesium, aluminium and steel, resulting in increased strength and rigidity of the passenger cell  weight savings of up to 130 kg compared to the F01. Core aside, the use of aluminium for the doors and (for the first time) the bootlid also contributed to the weight loss. BMW says that unsprung mass has been cut by 15%, centre of gravity made lower and 50:50 weight distribution maintained. The 740Li is powered by a 3.0 litre inline-six engine with 326 hp from 5,500 to 6,500 rpm; and 450 Nm of torque from 1,380 to 5,000 rpm. The B58 twin-scroll turbo unit is from a new engine family and its crankcase, cylinder head and oil sump are all made from aluminium. The turbo features an indirect system of charge air cooling that is incorporated into the intake manifold, and this water-to-air intercooler provides a shorter route for the air. BMW claims better efficiency and response than the old N55 motor, which has 320 hp/450 Nm.Paired to a ZF eight-speed torque converter automatic transmission with Steptronic, the 740Li is capable of 0-100 km/h in a swift 5.6 seconds, on to a limited top speed of 250 km/h. Claimed combined fuel consumption is 6.6 litres per 100 km.The  is powered by a hero of a downsized motor, a 2.0 litre turbocharged four-cylinder tasked to haul a big limo. This entry-level petrol engine for the 7 Series puts out 258 hp from 5,000 to 6,500 rpm; and 400 Nm of torque from 1,550 to 4,400 rpm. The B48 is a relatively new engine and has been seen in the , BMW / sisters and , but we’re seeing the most powerful version of it in the G11. Using an eight-speed auto, performance is far from shabby, with the benchmark 0-100 km/h sprint taking just 6.3 seconds. Top speed is at the regular 250 km/h mark, while fuel consumption is rated at 5.8 litres per 100 km, 0.8 l/100 km better than the 740Li. Not sold here, the  also uses this engine, but with an electric motor and lithium-ion battery in the mix., but the big cat’s 240 PS, 340 Nm and 7.5 seconds pale in comparison. Also weaker is the outgoing 730Li – powered by a NA 3.0 litre six-pot, it does 258 hp, 310 Nm and 7.5 seconds. No reason to fear downsizing, then.Both variants ride on air suspension (both axles) and 19-inch alloys (different styles) with 245/45 front tyres and fatter 275/40 rear ones. There’s also Dynamic Damper Control, and the 740Li adds on a new Executive Drive Pro “active chassis” system with electromechanical active roll stabilisation. The fancy  with LCD colour display and touch control panel (one can turn on the lights, open/close the windows, check fuel level and schedule the climate control, among other things, Remote Control Parking not available here) is standard across the board, as is the Design Pure Excellence package, which is basically an exterior chrome trim pack.Also standard are a four-zone auto air con, head-up display, Surround View, Welcome Light Carpet,  (Intelligent Emergency Call, Teleservices, Concierge Services and Remote Services), BMW Gesture Control for the infotainment system, Navigation System Professional with 10.25-inch touch display and HDD, plus a rear seat entertainment system with two 10-inch screens. The latter is controlled via the BMW Touch Command seven-inch tablet housed in the rear centre console. The removable tablet is made by Samsung.Speaking of rear seats, the big shots at the back can enjoy eight massage programmes including the Vitality programme, which allows one to engage in active physical exercise for recuperation purposes. Comfort seats at the back for 730Li, front and back for 740Li. Note that right-hand drive cars do not get the Executive Lounge Seating option featured in our  story until the second half of 2016. Both variants get a panorama glass roof, but only 740Li occupants get to enjoy the “Sky Lounge”. When it gets dark, the light emitted from side-mounted LED modules is directed evenly onto the glass surface, where it hits an imprinted graphic for a starry sky effect. Also exclusive to the 740Li is a 600w Harman Kardon sound system with nine channels with 16 speakers. The 730Li comes with a 205w “HiFi” system with 12 speakers. Not available here is the 7er range topping 1400w Bowers & Wilkins Diamond audio with 10-channel amp and 16 speakers.The 740Li also gets BMW Laserlight headlamps, which can be identified by a central blue-tinted horizontal bar. These top shelf items have a range of 600 metres in high-beam mode – twice the range of the LED headlights of the 730Li.The 730Li receives BMW Driving Assistant, a safety pack that includes Approach Control and Person Warning with light city braking, rear collision prevention, lane change and lane departure warning and rear cross traffic warning. BMW Driving Assistant Plus on the 740Li adds on stereo cameras and a radar for steering and lane control assist, lane keeping assistant with active side collision protection, traffic jam assistant for semi-autonomous driving, front/rear rear cross traffic assist, and Active Cruise Control with Stop & Go. Eight airbags are standard. Trim wise, the 740Li is lined with Nappa leather with diamond-pattern stitching and Poplar Grain Grey wood trim, with real leather dash top wrap, while the 730Li makes do with Dakota leather and Fineline wood. Both leather types can be had in Black, Canberra Beige or Cognac.We finally come to the price, which starts from  OTR without insurance for the 730Li and  for the 740Li. Decent pricing by BMW Group Malaysia for CBU imports (the  benefits from CKD hybrid tax exemptions), but the figures quoted are “exclusive prices” in conjunction with BMW’s 100-year anniversary, valid until further notice or while stocks last. Add RM100k to both numbers for the regular RRP (RM698,888 and RM888,800 respectively)."
SPYSHOTS: Maserati Levante – interior finally revealed,,Chris Aaron,,"Cars,International News,Maserati,Spyshots",2016-02-02,"Spied before  and once again , here is another early look at the coming  – the Italian car maker’s first shot at producing an SUV. To give you a bit of a recap, the Levante will face-off against the likes of the  and the popular .While the car seen here is still a heavily disguised mule, it is very likely hiding a dedicated SUV body – one that is far closer to being production-ready than we’ve seen before. Previous spyshots were of the mule wearing a Ghibli’s body, albeit with much higher ground clearance, thanks to an adapted chassis from the Quattroporte and Ghibli sedans.Here, the front grille with its trident emblem is seen peeking through the camo up front, while bits of the front apron and large air intakes are also visible. Sleek headlights can be seen, and if you look closely, underbody skid plates are visible just under the front bumper of the car.The rear of this prototype is properly disguised, revealing just its quad exhaust tips and Gran Turismo-inspired tail lights. Needless to say, the Levante also has a healthy amount of ground clearance. Apart from the headlamps, Maserati’s renders of its Kubang SUV concept looks to be carried over very well here.More importantly, this is also the first time the Levante’s interior has been seen. Naturally, there are a lot of test instruments in the vehicle, but this is as clear a view as it gets for now. The steering looks like it’s a carbon copy of what’s available in the Ghibli and Quattroporte, in three-spoke fashion, with column-mounted shift paddles.The dashboard gets an integrated display screen, just like we’ve seen on the Levante’s sedan siblings too. While the layout of the centre console remains familiar, there’s a new rotary dial on the centre console – one we reckon would be for the infotainment system.Previously, it was reported that the Levante would offer a similar range of engines available to its sedan siblings, including a petrol 3.0 litre turbo V6 that would offer 350 hp and 425 hp, and a 3.8 litre turbo V8 powerhouse good for 560 hp. Three diesel versions of the Levante have been tipped, each potentially offering 250 hp, 275 hp and 340 hp tunes.The Italian SUV is expected to make its global debut in a matter of a months now, at the coming Geneva Motor Show in March 2016. The car will begin its production much later in Turin, Italy, after which, a hotter Levante GTS has been rumoured to become available in Europe too."
JPJ to clamp down on cloned vehicles this CNY 2016,,Chris Aaron,"[(u'XXX', u'All these government bodies should clamp down themselves first. All these prostitution centre around still surviving, why? Answer is simple: Corruption. Even the head of the police is corrupted, monthly \u201callowances\u201d from these red house operators. You happy, bapak ayam happy, happy ending.'), (u't2357s', u'If you ask me, you can help reduce road fatalities by letting Malaysian afford vehicles with better safety features and also help poor Malaysian on motorbikes afford basic cars with good safety features. All these quick fixes are meaningless if the root cause is not fixed.'), (u'FIST', u'Why is Malaysia not doing that? Oh yeah, we need the money to pay off the donation and controversies\u2026'), (u'Proton achieving 13% TIV in 2016', u'There are bigger issues than clone cars.'), (u'Kbc', u'Kita semua tau ni semua orang dalaman punya kerja,  sekarang nak suruh tangkap orang jahat pulak\u2026 '), (u'Lori NPR', u'lawaklah JpJ ni\u2026  macam suruh perompak tangkap pencuri ni.'), (u'Ongtk', u'First,why need to announce?')]","Cars,Local News",2016-02-02,"The Road Transport Department (JPJ) has announced that it will be conducting  (TBC) to further clamp down on cloned cars in Johor. According to , the state has seen its fair share of , having seized nearly 100 vehicles since last year and 22 units just last month.“The department will be conducting  (TBC) to curb car cloning cases that has become a trend not only in the city but also in the districts such as Kluang, Muar, Pontian, Tenang, Sri Gading and others,” said Mohd Rusdi Mohd Darus, a director of Johor JPJ.Rusdi continued to say that Ops TBC would be examining vehicle chassis numbers and registration plates. “Owners who fail to provide legal information about the vehicles will be sent to the JPJ office for further investigation,” he said.Operations will last until February 16, and those found guilty may be fined up to RM12,000 under Section 108 of the Road Transport Act 1987 for making a false report and Section 7 for driving a non registered vehicle.Concerned over new statistics for 2015 that suggest up 60% of accidents involved motorcycles and another 1% being express busses, the JPJ director also revealed that Ops TBC would be paying closer attention to the road-worthiness of these vehicles, too.“During Ops TBC, we will be checking express buses and motorcycles to ascertain if their brakes and tyres are roadworthy,” he said, highlighting that express busses would be examined at the Larkin and Bentayan Bus Terminal, as well as Machap and Pagoh rest areas.Additionally, JPJ will also be carrying out  from  on the road. Some 100 JPJ officers will be going undercover on express busses and more, nationwide, to catch law-breaking motorists on the spot."
"Hyundai Elantra Sport with 200 hp rumoured, for US",,Chris Aaron,,"Cars,Hyundai,International News",2016-02-02,"A report from the US suggests that a more performance-oriented version of the  will be launched in North America this year. According the , the new model, based on the , will make its debut at the coming SEMA Auto Show in November 2016.The Elantra Sport, as it is rumoured to be called, will face off against the likes of the  Si and the  models. The publication, which doesn’t reveal its source, says that the Elantra Sport will feature a 1.6 litre turbocharged engine with up to 200 hp, and a six-speed manual, or seven-speed dual-clutch auto transmission.Currently, the US market gets just one variant of the Elantra, which uses a 147 hp 2.0 litre four-pot MPI petrol engine. Naturally, a turbocharged unit may increase the model’s appeal against new competition from the turbocharged .However, do note that Hyundai does already have such a powertrain combo in the US – one that it could lift straight out of the . The four-pot turbo makes 200 hp and 265 Nm of torque, and likewise, can be paired with either a six-speed manual or seven-speed dual-clutch automatic transmission.It has also been confirmed that a new turbocharged 1.4 litre Kappa GDI four-cylinder mill is reserved for the . Paired to an EcoShift seven-speed dual-clutch transmission, it produces 128 hp at 5,500 rpm and 211 Nm of torque from 1,400 rpm to 3,700 rpm."
"Proton-badged Suzuki Ertiga MPV rendered, 3 versions",,Danny Tan,"[(u'aaa', u'hope they retain suzuki\u2019s powertrain.'), (u'Badger', u'Mitsubishi, Honda and now Suzuki. Whats next? Subaru? Just close the factory la proton. Stop wasting time, energy and money'), (u'kendrix lamazz', u'Badger, so typical one, so much anger means what ah?'), (u'Regular Guy', u'\nbad childhood is it?'), (u'kendrix lamazz', u'I think this looks pretty good, As usual Theo does a good job of imagining the car.'), (u'kcng', u'\nI think this car should be good for Proton, hopefully the pricing will be good enough to give the Alza a run for it\u2019s money.'), (u'limbu', u'some people may ridicule this move to share the Ertiga with Suzuki but I think it is a sensible move by proton because the MPV segment is a growing segment but volume is not so huge and Proton may find it hard to recover their investment if they go alone in this segment'), (u'Long', u'I have insider news saying that as part of Proton Suzuki Collaboration, Suzuki would rebadged Proton Iriz, Preve, Suprima and Exora for India and Indonesia market.'), (u'sepul', u'I went to youtube to see the acceleration video,'), (u'Jobless', u'for auto it is 15-16 seconds from 0 to 100km/h'), (u'iskhalifah', u'slow and lack of power , imagine u carry goods , '), (u'Nishida Katsumi', u'i just stick to the exora turbo sv line ,'), (u'firdaus', u'Please rebadge SUV'), (u'nobody', u'Keep the powertrain and interior design, but change the steering wheel and exterior design.'), (u'bukapintubayartol', u'Pls name this model \u201cSuku-Tiga\u201d'), (u'Gagal Lagi', u'1. The Ertiga will be imported in CKD packs and assembled here. I doubt there is any change to the brown-beige combination (as manufactured in India & Indonesia) as they are rushing for early release this year.'), (u'panjang', u'\n2. The horizontal grille suits Proton\u2019s existing design theme, although I really like the older one (swift style grille).'), (u'CrazyMobilo', u'\n3. Expect the four-pot 1.4L engine to be refined & quiet, with low 12-15km/L FC.'), (u'Dodge Viper', u'\n4. Expect the ride to be softly damped (its a budget family-oriented people mover).'), (u'Xiumxium', u'All the best Proton.Even Yasumitsu Morita doesnt want you to close shop. Pls do necessary action to survive. By the u dont deserve my RM'), (u'RickD', u'malulah\u2026rebadge!!!'), (u'za', u'\nmana machai proton skarang\u2026'), (u'Silthice', u'Proton.please considee have long cushion for driver seat ,just like alza model.'), (u'Maruah melayu', u'I find it ironic that Ertiga = R3'), (u'passerby', u'How to prevent this Proton Ertiga from another failure:'), (u'winwin', u'1. Choose the blue colour design. Looks more modern and up-to-date.'), (u'Jeffrey Chew', u'2. Black, dark grey interior and seats please.'), (u'MK', u'3. Chrome door handles. Premium look.'), (u'savvykl', u'With correct pricing and specs Proton may have chance to beat Alza but Exora bye bye being cannibalised.'), (u'oko000', u'I would rather see a rebadge Suzuki Jimny\u2026I know,its not feasible. Still i want one.')]","Cars,Local News,Proton,Suzuki",2016-01-22,"Now that  that there will be a Proton-badged Suzuki Ertiga, we commissioned rendering whiz Theophilus Chin to come up with renderings of the “Proton Ertiga”. The tiger-badged MPV won’t be called Ertiga, of course, and there’s a chance of Proton giving the donor car a different face, so this serves as merely an idea of what to expect. Theo delivered three sets with Proton badges – one of the  that surfaced in 2012, one based on  that debut at the Gaikindo Indonesia International Auto Show (GIIAS) 2015 show in August 2015, and another of the range topping  (below left), which has a completely different (and rather bizarre) face from the standard car. Also included is a pic of the Ertiga’s  with Proton’s emblem on the steering boss. What do you think? Should the national car company just keep it simple as seen here, or should a “more Proton face” be used?  The confirmation of the Ertiga as a fruit of Proton’s collaboration with Suzuki . News reports from the republic quoted local Suzuki arm PT Suzuki Indomobil Sales (SIS) saying that the Ertiga will be exported to Malaysia in knocked down form, from the second quarter of 2016.SIS will export 1,500 units of the Ertiga to Proton per month, which translates to a significant 18,000 units per year. Production of the knocked down kits headed for Malaysia will start at SIS’ factory in Cikarang from May this year. Proton had previously announced that the first Proton-Suzuki joint model will . Presently, Suzuki exports the Ertiga from Indonesia to various Asean countries such as the Philippines, Thailand, Vietnam and Brunei in CBU form. However, exports to the four markets are at the rate of 400 units per month combined, which pales in comparison to the Proton deal. Suzuki also produces the , a rebadged Ertiga, for the Indonesian market. The Suzuki Ertiga is a three-row, seven-seater MPV that shares a platform with the  and SX4. Its 2,740 mm wheelbase is competitive with the Perodua Alza’s 2,750 mm and the Proton Exora’s 2,730 mm. In Indonesia, the Ertiga – which competes in the Low-MPV segment against the market-leading  and  – is powered by a 1.4 litre engine with 92 PS and 130 Nm of torque, and the K14B motor is paired to a five-speed manual and four-speed automatic gearbox."
2016 Honda Civic – Indonesia to get new 1.5 turbo?,,Chris Aaron,"[(u'Janji najix tak ditunaikan,penipu Rakyat!', u'Malaysia to get 1.5l turbo too. I believe this generation Civic will gonna use this engine world wide')]","Cars,Honda,International News",2016-02-02,"A report from Indonesia suggests that our neighbours could soon get their  served . A source from within Honda Indonesia confirmed the news to  at a recent event in Bali.According to the Indonesian publication, Jonfis Fandy, director of marketing and after sales for Honda Indonesia confirmed that the Civic and its 1.5 litre turbo engine is currently being tested in the country. The new 10th-gen Civic is expected to be launched in Indonesia some time this year, turbo engine in tow.As available in the US, the 1.5 litre turbocharged engine delivers 174 hp at 5,500 rpm and 220 Nm from 1,800 to 5,000 rpm. A 2.0 litre, naturally-aspirated, four-cylinder engine is also available, offering 158 hp and 187 Nm of torque. Both mills are paired with an updated CVT automatic transmission.The new Civic has also been , and we expect Honda Malaysia to launch the model this year as well. However, news of Indonesia getting the 1.5 turbo engine does contradict about the improbability of it being offered in Asian markets – somewhat opening the doors for us too.“Depending on the market and region, but particularly in Asia and other emerging markets, we will continue offering our naturally-aspirated line-up, which tends to be less costly. In South East Asia, we will supply our current lineup of naturally-aspirated engines,” claimed Ohtsu, in our previous report of him Could the doors still be open for a 10th-gen Honda Civic 1.5 turbo in Malaysia? Fingers crossed, then."
