date,url,title,contents,author,topic
2016-04-06,http://blog.neospeech.com/2016/04/06/blind-can-see-photos-on-facebook-and-twitter/,Blind People Can Now “See” Photos On Facebook And Twitter,"Less than a week apart, two giants of social media announced new text-to-speech based features aimed at increasing accessibility on their websites. Both have similar purposes, and may seem like small additions. However, it is a huge step in making the internet more accessible to people with disabilities. People with vision impairments will now be able to “see”, or more accurately, hear photos on Facebook and Twitter. It’s no secret that Facebook and Twitter are two of the most popular websites on the internet. They’re the 3  and 11  most visited websites in the world, respectively. The practice sharing information with friends and families through these social networking sites have become a norm in today’s society. Social networking, in a sense, is like real life put onto a computer screen. This is great for most people, however, it becomes very complicated for people with vision disabilities, or blind people. It is estimated that there are 285 million people worldwide who are visually impaired. With social media becoming a bigger and bigger part of our daily lives, it’s important to keep these websites accessible to these people. Some of you might be asking, “So how do blind people navigate the internet?” The answer is screen readers. Screen readers are applications that anyone can download onto their computers. Once installed, the screen reader will read out all of the text that is on the screen. They will read out the text from any program you are running or any website you are on. This technology applies to social media as well. Screen readers are able to read out who is posting and everything they wrote. However, what’s missing here is that a significant portion of social media posts aren’t text-based, they’re pictures. Screen readers can’t say anything when there isn’t any text. Last week, Twitter broke the news that they developed a feature that would allow screen readers to describe images to users. And just this week, Facebook announced a similar feature. The short way of saying it is that screen readers will now be able to describe images to users so that they can gain an understanding of the picture. However, the methods that Facebook and Twitter use to achieve this are quite different, and it is important to understand how each one works so you can be sure that the images you post will be accessible to those with disabilities. If you want visually impaired people to be able to “see” your photos on Twitter, then it’s up to you to determine what they’re going to hear. With Twitter, users can add captions to 
their photos. This caption will be recognized by a screen reader and converted to speech. Thankfully, Twitter doesn’t limit you to just 140 characters. Instead, you have up to 420 characters to describe your image. This feature is only available on the Twitter iOS and Android apps. To add a description, just tap the pen icon on the image after you have uploaded it. Twitter thanks their users for coming up with this idea. When Twitter’s CEO Jack Dorsey asked developers about which features they wanted Twitter to have, adding descriptions to images was the fourth most requested feature. Facebook, like Twitter, also uses alternative text on images that are then converted to speech by screen readers. However, the big difference here is that users don’t write the image descriptions. Instead, Facebook does it themselves. “Automatic alternative text” is a tool that recognizes objects and uses that to describe an images. For example, if I posted a picture of myself standing next to a car, then Facebook’s automatic alternative text tool might describe the image as “a man and a blue car”. People using a screen reader would then hear that description as they are browsing Facebook. Facebook’s new feature is currently only available on their iOS app and only in English. And as of now, Facebook’s tool can recognize about 100 different types of objects and scenery. Here’s a video showing Facebook’s new feature in action: Text-to-speech technology has long been used to help make the world around us more accessible to everyone. We’re excited to see two such popular websites using this technology for that purpose! If you’re interested in having your screen read out loud to you, then check out our   that lets you type any text you wish to hear from any of our voices to see which one is right for you! Are these features that you’re going to use? What other accessibility features do you wish Facebook or Twitter offered? Can you think of something else that text-to-speech may help with? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,2
2016-04-20,http://blog.neospeech.com/2016/04/20/neospeech-bitcode-support/,"Good News, Bitcode Is Now Supported In Our VoiceText iOS Embedded SDK!","If you’re an app developer, chances are you cheered for joy upon reading that title. If you’re not an app developer, then you probably have no idea what this means. However, there’s still reason for you to celebrate as well.   support is great news for both developers and Apple product users. Apple unveiled Bitcode at Apple’s Worldwide Developer Conference in June of last year. It was announced that Bitcode would “allow the App Store to re-optimize apps for each kind of device before they’re delivered to the user”. Apps would also automatically accommodate for updates released by Apple. In short, Bitcode is able to optimize an application to be used by the intended device. To give you an idea, the Facebook app on an iPhone is not entirely the same as the Facebook app on an iPad. Since these are different devices, the app needs different resources to be able to run on each particular device, so the executable architecture of the app is different. In the days before Bitcode, if a developer wanted their app to be compatible with all Apple devices, then they would have to make sure that their app contained all of the resources needed to run on each device. Then, whenever an end-user downloads the app, it would contain the executable architecture for their device and every other device, making the file size of the app much larger. With Bitcode, the iTunes store can automatically optimize an app for a specific device. When the app gets downloaded, it’s only downloaded with the executable architecture for that particular device. This is good for developers because with Bitcode, all they have to do now is upload a full version of their app to iTunes. Then, the iTunes store will do the rest of the work and create a version of the app that is compatible for one particular device, such as the iPhone, iPad, and Apple Watch. Another time-saving benefit of Bitcode is that whenever Apple releases an update, iTunes will automatically update the app too. Before, if Apple released a new update of the iPhone, then a developer would need to reconfigure their app so it would still work properly. Now this will be done automatically by iTunes. There’s two reasons why you should be happy here. First, because the app you download will only have the executable architecture for your device, it means the size of the app will be smaller. Apps with Bitcode will require less of your precious memory to store. This also means that it will download faster. The second reason why you should be happy is that apps with Bitcode will automatically update with each Apple update. No longer will end-users have to worry about their apps becoming out of date and incompatible with their device. Glad you asked. Several apps use NeoSpeech today. Popular uses include screen reading, eLearning, navigation, and alerts. Developers have been using NeoSpeech’s Text-to-Speech technology to create breakthrough apps that make information more accessible to all, especially users who are visually impaired. We wouldn’t be surprised if you’ve already heard our voices on your Apple device. 
You can also check out some apps that we’ve released ourselves. Our Spokesperson app lets you type in messages that become converted to speech with our voices! You can save messages and quickly tap them to have it read aloud. Our Newspeak app reads out news stories to you, so you can keep up with current events without having to strain your eyes by reading on a tiny screen. This app can be especially useful for when you’re driving and wanting to listen to the news! Do you use any apps that have text-to-speech features? Are there any apps out there that you think should have text-to-speech? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,4
2016-04-04,http://blog.neospeech.com/2016/04/04/cvaa-compliance-technologies-texttospeech-deliver-audio-alerts/,CVAA Compliance – New Technologies Using Text-To-Speech To Deliver Audio Alerts,"Text-to-speech, a very beneficial feature for people with disabilities, has widely been seen as only that; a neat feature. But as of late last year, text-to-speech became more than that. It became a requirement by law. Thanks to emerging technologies and a proactive approach to improve accessibility, the U.S. passed the 21  Century Communications and Video Accessibility Act (CVAA) in 2010. The purpose of this act was to require television broadcast stations and video programming providers to use these technologies to make information more accessible to people with disabilities, such as people who are blind or have a visual impairment. There were several rules within this act that went into effect over time. One of the latest, known as the Audible Crawl rule, went into effect on November 30, 2015. The FCC are “requiring the use of a secondary audio stream to convey televised emergency information aurally, when such information is conveyed visually during programming other than newscasts, for example, in an on-screen crawl.” So what exactly does that mean? You know those emergency alerts you’d see on TV scrolling across the bottom of the screen? They’re the ones that often provide weather updates or AMBER alerts. This new rule is saying that broadcasters and providers must have an audio stream which converts the text to speech. This is where text-to-speech software, or a text reader, comes into play. The TV station or programming provider must have a device in place that will read out the alert the moment they receive it. The reason for the urgency is because when a TV station receives an emergency alert, it gets instantly broadcasted over the air. A TV station can’t delay an alert from going out. Therefore, a programming provider or television station can’t employ a voice actor 24-hours a day and have them constantly ready to announce an alert. A text-to-speech synthesizer is a must have for these companies. It needs to be in place and always ready to convert a text alert into speech. (The AIM-100 automates the text-to-speech conversion process) Thankfully, it’s getting easier and easier for TV stations and program providers to be in compliance with the new FCC regulation. Software and devices that are able to analyze and read aloud the text from emergency alerts are being released at a rapid rate. One such product was announced last week. Enco will be unveiling their new   (AIM-100) next month. TV stations simply hook up this device to their system and let it do the rest of the work. The AIM-100 will identify incoming text files and automatically convert it to audio as required by the FCC. NeoSpeech voices will be available on the AIM-100. There are many other devices like this on the market, and this also gives TV stations and program providers customization options. Broadcasters can shop around find the best sounding and most natural text-to-speech voices (we wouldn’t be surprised if you’ve heard any of our NeoSpeech voices already). Gone are the days when TV viewers had to sit through and listen to those terrible “robot” voices during an emergency alert. This is where things get exciting. While text-to-speech is being used for SAP (second audio program) voices, it can be used for much more. Text-to-speech voices are becoming so realistic that soon providers will be using them for much more than just emergency alerts. Broadcasters can allow the TTS voices to announce anything such as the news, weather updates, sport reports, and multiple-language programming. This isn’t a futuristic idea, it’s already possible today! Devices such as the AIM-100 are more than capable of handling these functions. As we at NeoSpeech continue to push the limits of high-quality text-to-speech voices, we look forward to hearing our voices more and more in the world around us as companies continue to improve accessibility in each of our daily lives.  Want us to prove how realistic our voices are? Go to our   and type any text you wish to be spoken by any of our 30+ voices in any of our 7 available languages! This blog post just covered one small part of the CVAA. There are many other regulations that must be abided by. Thankfully, we’ve covered every part of the CVAA already. Are you from a television station or a multi-channel video programming distributor (MVPD)? Then look no further than here to learn how you can remain in compliance with the FCC. Read any of our blogs on the CVAA below! If you’re a broadcaster or provider, what are you doing to make sure you are compliant with the CVAA? As for everyone else, have you noticed any of these accessibility improvements? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,4
2016-04-07,http://blog.neospeech.com/2016/04/07/voices-added/,NeoSpeech Releases Two New Voices!,"We’re proud to announce two new additions to our ever-growing list of voices, including our first ever male Canadian-French voice! Leo and Beth are now fully available in all of our product offerings, giving users and developers more customization in their text-to-speech applications. Leo, our first male French-Canadian voice, and Beth, our latest US English voice, raise the standards for high-quality speech synthesizers. We don’t like to brag often, but these are both outstanding voices. Leo perfectly captures the allure of the French-Canadian accent. His voice strikes the delicate balance between a deep yet elegant tone. Leo’s voice has been described as friendly and professional, making his voice perfect for business use. Make Leo’s voice the first thing your customer hears when they call your company and they’ll be instantly hooked. In addition to using Leo for IVR (Interactive Voice Response) and CTI (Computer Telephony Integration) purposes, his smooth and realistic voice makes him ideal for announcement systems, broadcasting, eReading, and personal use. Now, we wouldn’t just talk up Leo’s voice this much without backing it up.   and see what our excitement is about! You can also put Leo to work in the demo section of our   by selecting his voice and typing any text you wish for him to speak! You can also read our press release on Leo  ! Beth is our fourth female, and sixth overall US English voice! This gives our customers a wide range of variety in selecting just the right English voice for their applications. What makes Beth so special is the attracting and warming tone of her voice. These traits are often missing from synthesized speech, but Beth’s voice has the undeniable ability to connect with her audience. This personal connection that Beth achieves makes her voice ideal for education, language learning, screen reading, health monitors, medical devices, and of course, personal use. Again, we wouldn’t throw all of these claims at you without proving it. You can listen to Beth’s voice yourself and allow her to read any text you type by selecting her voice on the demo section of our  . Ever heard the phrase “slow and steady wins the race”? Well, that’s the approach we take when developing our speech engines. As we discussed in our blog post “ ,” we use the USS technique which takes much more time, but as of today producers the best quality voice. It takes us about a full year of hard work from start to finish to create a new voice using this technique, but the superior quality of our voices definitely makes the effort worth it to us! And we think you’ll agree when you experience our text-to-speech technology. You bet! We’re expanding our line by adding new languages. Plus, we’re also adding voices to languages we already support to give you more customization. We’re working tirelessly to continue to be the leading provider of text-to-speech technology, and we can’t wait to introduce you to our new voices, or better yet, to have our new voices introduce themselves to you! Did you listen to Leo’s or Beth’s voice? What do you think of them? What sort of technologies or applications would you like to hear these voices in? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,6
2016-03-18,http://blog.neospeech.com/2016/03/18/wikipedia-offer-texttospeech-synthesis/,Wikipedia To Offer Text-to-Speech Synthesis,"The seventh most popular website in the world is now working to create the world’s first crowdsourced text-to-speech platform. This new feature will allow users to have the text from Wikipedia pages read aloud to them. Wikipedia is the latest among a growing number of companies making their websites more accessible to users with disabilities who may have trouble reading text on their screens. This is big news considering a   estimated that a quarter of Wikipedia users, or 125 million per month, need or prefer their text read aloud to them. The KTH Royal Institute of Technology in Sweden is currently developing the platform. The text-to-speech servers will be hosted by Wikipedia, meaning users won’t have to download any software to use the feature. In addition to this service, Wikipedia will also make the speech synthesis platform open source. Websites will be able to easily download and use the software for their own web pages. Individuals will also be able to download the platform for personal use. The goal is to have English, Swedish, and Arabic speech engines ready by 2017. Wikipedia plans on eventually offering synthesized speech for each of the 281 languages that are supported by the online encyclopedia. Eventually, users will also be able to report words that are pronounced incorrectly in an effort to correct the speech. This crowdsourcing element falls in line with Wikipedia’s defining characteristic. Since 2001, Wikipedia has grown its database to an astronomical size thanks to users freely contributing content, writing articles, and correcting mistakes. While this will be the first crowd funded TTS engine, it won’t be the first open source TTS engine. Companies like Google and Microsoft offer text-to-speech synthesis for free as well. This has earned those companies praise for offering tools to make the internet and computers more accessible. The main drawback with free TTS engines are that they are commonly considered lower quality and sound less realistic. We’re excited to see Wikipedia roll out this feature in the future and eventually support almost 300 languages, which is nothing short of amazing! We hope other websites follow Wikipedia’s lead and work to make the entire internet more accessible to everyone. Would you use Wikipedia’s text-to-speech feature? Which website would you like to have TTS functionality? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,4
2016-04-13,http://blog.neospeech.com/2016/04/13/ivr-customer-self-service/,IVR: The Future of Customer Self-Service,"“Customers don’t expect you to be perfect. They do expect you to fix things when they go wrong.” This quote stands very true in the business world. These days, consumers expect to have their answers immediately. There’s no time to waste if a company wants to provide top level customer service. Interactive Voice Response, or IVR, is a technology that transforms your customer call center into an efficient customer self-service system. Have you ever called a company and heard a pre-recorded message greeting you and then asking you to press a certain number? That’s IVR. However, that form of IVR is becoming outdated. Text-to-speech and other new technologies are emerging that give companies the competitive advantage when it comes to their customer service. IVR systems are becoming more advanced are appear to be able to have conversations with callers. So how do you keep up with the latest trends and technologies concerning IVR? Thankfully,   aimed at bringing you up to speed with the newest technologies that will take your customer service system to the next level. This course is geared towards teaching you how to use these technologies to create a system that lets your customers interact with your company exactly how they want to, and with the best possible outcomes. Large companies often get hundreds or even thousands of customer service calls a day. The old way to meet this demand was to employ a staff of dedicated customer service representatives who would field these calls throughout the day. Times have changed though. The costs of maintaining a customer service call center is high, and companies are moving away from this approach. But consumer’s demands for information are increasing, and they want it faster. Companies have turned to IVR to solve these problems. IVR is a technology that lets intelligent computer applications communicate with your customers. IVR has been utilizing voice recognition and text-to-speech technology to provide callers with a better experience. Having a good text-to-speech engine is important because having a high quality voice is vital to keeping customer satisfaction high. The perfect IVR system can clearly communicate with the caller and give them the answers they’re looking for. And they can do this in a timely manner. Unfortunately, it can be difficult to implement a perfect IVR system for your company. That’s why Speech Tech Magazine is hosting their five-part web series – Beyond IVR: A Crash Course in the Next Generation of Customer Self-Service. Each webinar lasts 50 minutes. And the five webinars will take place over the course of 5 weeks, with the first webinar coming up next Tuesday, April 19. It’s not too late to sign up if you’re interested, which you can do  ! Take a look at what each lesson has to offer: One of the main goals of these webinars is to help give you an understanding of the future of voice apps and speech technology, and what they mean for IVR. Text-to-speech synthesis is vital to the success of an IVR system. You should want the voice answering your phone calls to be the best and most natural sounding voice. After all, it’s the voice of your company! The webinar will also focus on other topics such as how to improve user experience, crafting the perfect messaging, utilizing “context cookies”, and delivering the best experience to your customers effortlessly. We at NeoSpeech recommend any business out there to enroll in this web series. No matter how big or small your company is, there is an IVR system out there that is right for you. Several companies of all sizes have turned to NeoSpeech to provide the highest quality text-to-speech voices for their IVR systems. While having a great voice for your IVR system is a huge first step, it is also important to know how to set up your IVR system so it can say the right things at the right times. This is why we believe this web series is a great use of any company’s time. What kind of IVR system do you have in place? What are the newest trends in this field that you are starting to see? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,1
2016-04-14,http://blog.neospeech.com/2016/04/14/emergency-alert-notification-high-quality-voice/,Why An Emergency Alert Notification Needs A High Quality Voice,"We’ve all heard it before. Your TV or radio begins buzzing and beeping with an all-too-familiar tone. It’s an emergency alert. You listen up for the information that’s about to be read to you. It could be a weather notification, or an AMBER alert. Either way, you listen carefully to the message, because the information could be important to you. Most of the time, the next thing you hear is a synthesized voice. It’s not actually someone reading out the message; rather, it’s a text-to-speech engine that is able to convert the text alert into an audible message that gets broadcasted to you. Unfortunately, residents in Ontario, Canada fell victim to a poorly executed text-to-speech system. Last month, an AMBER alert came on after a running car with a baby inside was stolen. The alert was difficult to understand as the voice was not high quality. Then, the message ended with, “If observed, call September 1 , 2001”. In this case, the system failed to read out “9-1-1” and instead read it out as a date. Another incident occurred before that after a possible abduction. The TTS voice so poorly announced the name of the city (Orillia, Ontario) that some people didn’t even know what had been said. With the recent advances in text-to-speech technology, it’s shocking to see such an issue still exist. TTS is increasingly being used for announcing important information. In these situations where every detail could matter, it is vital to have a clear and correct, natural sounding text-to-speech voice announce these alerts. In addition to these emergency alerts we hear on the TV or radio, text-to-speech technology has also been used to announce alerts through computer networks and phone lines. For example, let’s say a severe snow storm has dumped 10 feet of snow around a city, and school is scheduled to open in a few hours. There’s no time to call each family individually and tell them school is closed. Instead, many school districts have a system in place that lets you type in the message, and then it automatically calls each family and reads aloud your message using text-to-speech. In this case, it’s telling them that the school will be closed for the day. Fire stations use TTS to announce incoming calls so firefighters can get the information as they rush to put their gear on. Businesses use it to announce meetings, product recalls, instructions, or other timely information. The point is that is there are thousands of examples of when information needs to be relayed in an instant. Using TTS technology is the best way to address this issue. However, it is important to realize that this may not be the best time to go cheap. In these cases, you want to have the highest quality voice. There can be a variety of reasons to send out an alert, but most alerts contain information that could be important to one’s well being, and are urgent. In these situations, many people could be affected by the alert you are sending out. So, you better make sure that they fully understand the information you are sending them. Going back to the previous example, what if someone from Orillia could have spotted the abductor after the alert was broadcasted, only they didn’t because the quality of the voice was so bad that they didn’t have any details to go off of? This would be a tragedy. Emergencies are the most important times for clear communication. TTS technology is great for creating audio alerts effortlessly and instantly. We strongly recommend anyone wanting to use this technology to find the best quality solutions. Here are a few tips we have so you can be sure that your system is flawless: As we mentioned earlier, TTS is being used for more than TV or radio alerts. Businesses, schools, computer programs, airports, fire stations, public transit stations, hospitals and medical devices all use text-to-speech to announce alerts. In emergency situations, we implore you to choose to best voice you can find. Our NeoSpeech voices have been used for alert notifications for years, have you heard any? What sort of TTS engine do you use to send out alerts? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,1
2016-05-04,http://blog.neospeech.com/2016/05/04/taiwanese-texttospeech-voice/,"Meet Yafang, Our First Taiwanese Text-to-Speech Voice","We’re excited to announce yet another new release. Yafang, a female Taiwanese voice, is now available to purchase for personal or commercial use. This comes after the release of Beth, a US English female voice, and  . Yafang is our first Taiwanese voice. Adding Taiwanese gives customers more opportunity to reach new audiences with NeoSpeech. Other languages include English (US and UK), Mexican Spanish, Canadian-French, Chinese, Japanese, and Korean. A proper introduction is in order, so how about we let Yafang introduce herself! Click   to listen for yourself what a high quality Taiwanese text-to-speech voice should sound like. Yafang speaks Taiwanese Mandarin. This is considered a dialect of standard Mandarin spoken in mainland China. It is the official language of Taiwan. However, it wasn’t always that way. From 1890 to 1945 during the Japanese colonial occupation, Japanese was the official language of Taiwan and was taught in schools. At the conclusion of World War II in 1945, the Republic of China took control of Taiwan from Japan and introduced Mandarin as the official language. At this point, schools were required to teach mandarin in schools. However, the influences of Japanese as well as other popular languages in Taiwan such as Taiwanese Hokkien made the Mandarin spoken in Taiwan have noticeable differences to the Mandarin spoken in China. This includes differences in pronunciation, grammar, and vocabulary. Most of the Taiwan’s population of 23 million people can speak Taiwanese Mandarin fluently. Yafang is one of our most natural sounding text-to-speech voices to date. She can handle any text, long or short, and convert it into a high quality sound file. Her speech flows perfectly together. This makes Yafang perfect for any commercial purposes. If you’re running a call center using IVR/CTI technology and you expect Taiwanese callers, then you should definitely consider integrating Yafang into your system. Yafang can also be used for audio publishing, broadcasting, eLearning, training videos, and navigation systems, among several other uses! NeoSpeech offers over 30 voices in 7 different languages. What separates NeoSpeech from other text-to-speech providers is the quality of our voices. We strive to produce high quality, natural sounding text-to-speech voices. Yafang, as well as our other voices, was created using the Unit Selection Synthesis (USS) method. As of today, this method produces the most natural sounding synthesized speech. We use a least 20 hours of recorded audio to make these voices to ensure they produce the correct sounds each time they’re talking. You can read more about how we create our voices in  ? Did you listen to Yafang’s introduction? What did you think of her voice? What other languages would you like us to produce? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,6
2016-04-27,http://blog.neospeech.com/2016/04/27/standalone-texttospeech-engine/,What Can You Do With A Stand-Alone Text-to-Speech Engine?,"The quality of speech synthesis has come a long way in recent years. Text-to-speech technology was once defined by the robotic and unnatural sounding nature of their voices. Today, it can be almost impossible to tell the difference between a synthesized voice and a real one. In addition to improvements to text-to-speech’s quality, the availability of this technology has also increased. With the rise of computers over the last few decades, applications and programs have been developed with text-to-speech functionality. With this feature, applications are able to convert text into speech. There are several types of applications that use text-to-speech. There’s eLearning, screen reading, alerts, and many other types of applications. These apps use text-to-speech as an extra feature to help support the main purpose of the app, such as to educate you. But what about stand-alone text-to-speech applications? Their only purpose is to convert the text you enter into audible speech. How do these work? And is there much use for them? While every application is different, usually how it works is that when you open the app, there’s a box where you can input text. Once you enter in all the text you want converted to speech, you select an ‘enter’ or ‘speak’ button and the rest will be taken care of for you. Most of these apps also give you some customization option such as selecting the voice, editing tempo, and changing the pitch. These apps can either be installed on your computer or accessed online through a text-to-speech provider. This type of application can be inexpensive and versatile. However, not many people know about all the things that they could do with this type of application at their disposal. In this blog post, we’ll show you how anyone can benefit from having a stand-alone text-to-speech engine and list out top 5 uses for one. A big challenge with learning a new language is figuring about how certain letters and words are supposed to be pronounced. Thankfully, the quality of text-to-speech engines have improved so much that their voices can be excellent teachers for us. An easy way to learn how to say something in a new language is to enter in the word or phrase you want to learn and listen to it a few times. This is a good way to learn a new language without the high price of a language teaching application. Are you a big traveler? This would also be a fantastic tool for learning a few essential phrases that’ll help get you through your next trip abroad. Learning how to order food and say “please” and “thank you” is easy this way and could greatly benefit your trip. This is a relatively unknown yet amazingly beneficial use of a text-to-speech engine. Proof-reading is something that just about everyone needs help with. It’s much easier to catch mistakes when someone else reads your writing or when you read it out loud. Putting your writing in a text-to-speech application essentially takes care of both! You’ll be able to hear your mistakes. People often glance over typos when proof-reading their own papers. Converting your text into audio will make your typos obvious when you hear them. In addition to proof-reading, did you know that text-to-speech can also improve your writing skills? Last week,   detailing how a text-to-speech converter can improve your business writing skills. When you listen to your paper or report, you’ll be able to tell if it’s flowing the way you want it to. You’ll hear it when a word or sentence seems out of place. This allows you to pinpoint the right words to use and to make sure no parts of your paper are out of order. This will increase the effectiveness of your writing. Much of our time spent on computers is reading. We read emails, news stories, blogs, and social media, among several others. There’s a few reasons why it might be better to have this information read aloud to you. First, reading off of a computer screen can strain your eyes. Symptoms of computer vision syndrome include headaches, blurred vision, dry eyes, and neck/shoulder pain. Simply copy and paste the content you want to read into your text-to-speech program and it’ll read you the information. Another benefit is the ability to multitask. When you have a text-to-speech app reading you a news story, you’ll be free to perform other tasks while still listening and taking in the information from the story. Many text-to-speech applications let you save and export audio files. Whenever you input text and convert it into speech, you’ll be given the option to save that audio file to your hard drive, where you’ll have access to it anytime. This is beneficial for any of the examples we just mentioned. Whenever you’re too busy to listen through an entire story or report, you can simply create the audio file and save it for later. You can also send the audio file to any other devices you own such as a smart phone. This will allow you to hear your text-to-speech audio files on the go! You can also create messages in advance using a text-to-speech program. If you rely on these programs to communicate, simply enter a common greeting or introduction message so you can play it whenever you meet someone new. Other uses include creating a voicemail response or creating an instructional tutorial. There’s lots a uses for text-to-speech, and it’s a great tool to have when you can’t always provide your own voice to deliver messages. At NeoSpeech, we offer our VoiceText Editor to anyone wanting a stand-alone text-to-speech engine. Once installed, you have total freedom to customize speech and sounds to your liking. We also offer our  , which means you won’t have to download anything. All you would need is an internet connection. Do you have a stand-alone text-to-speech application? What do you use it for? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,6
2016-03-10,http://blog.neospeech.com/2016/03/10/texttospeech-ransomware/,Text-to-Speech Now Being Used By Ransomware,"One of the main purposes of text-to-speech technology is to improve accessibility, which in turn improves the world we live in for the greater good. However, last week it was discovered that TTS functionality is being used by cybercriminals for malicious purposes.  is a type of malware that blocks access to the infected computer unless a ransom is paid. Ransomware usually infects a computer by hiding in a file that the user downloads from the internet, known as a trojan. Once downloaded, it will encrypt all of your files and lock you out of your computer. A pop-up will appear informing you that you have a certain amount of time to pay a ransom in order to receive a code that will decrypt your files and unlock your computer. The pop-up contains instructions on how to pay the ransom, which is usually paid in bitcoin. However, after the time has expired, the code is erased permanently. This essentially keeps you locked out of your files forever. Now, a new ransomware called “Cerber” uses text-to-speech to read aloud the demands of the hacker. Experts say that Cerber is very effective and there is no known way of decrypting the files without paying the ransom. Here is an example of what a Cerber pop-up looks like: There is still a lot unknown about Cerber, however, experts also say that you should not pay the fee in the event that this happens to you. Cybercriminals have no obligations to send you the code to unlock your computer after you’ve paid them. There are cases of the hackers sending the codes, but there are many more cases when they don’t. In another development, security firm Palo Alto Networks confirmed this past weekend the first cases of  . This means that devices running on OS X, or Apple computers, are vulnerable to ransomware. While we are proud of the strides that speech technology has made in recent years, this is unfortunately another example of new technologies being used for malicious purposes. We’d prefer you use text-to-speech technology on your own accord, therefore, we advise everyone to exercise safe browsing practices when using the internet. Do not download files from unknown sources and be cautious of suspicious links. It is also a good practice to periodically back up your computer with an external hard drive. Have you ever had any experience with ransomware? How do you ensure your computer is safe? Let us know in the comments! To learn more about the different areas in which Text-to-Speech technology can be used, visit our   page. And to learn more about the products we offer, visit our   page. If you’re interested in adding Text-to-Speech software to your application or would like to learn more about TTS, please fill out our   form and one of our friendly team members will be happy to help.",neoadmin,0
